n=500, k=1000, numdec=10^-4 
(367.1547, -367.1547),
(367.1547, -370.0238),
(370.0238, -370.0238),
(374.0017, -374.0017),
(374.0017, -376.8708),
(376.8708, -376.8708),
(377.9259, -377.9259),
(377.9259, -380.795),
(380.795, -380.795),
(381.8802, -381.8802),
(381.8802, -384.7493),
(384.7493, -384.7493),
(385.1728, -385.1728),
(385.1728, -388.0419),
(388.0419, -388.0419),
(389.7355, -389.7355),
(389.7355, -392.6046),
(392.6046, -392.6046),
(393.6721, -393.6721),
(393.6721, -396.5412),
(396.5412, -396.5412),
(397.4178, -397.4178),
(397.4178, -400.2869),
(400.2869, -400.2869),
(400.8245, -400.8245),
(400.8245, -403.6936),
(403.6936, -403.6936),
(404.5777, -404.5777),
(404.5777, -407.4468),
(407.4468, -407.4468),
(409.6686, -409.6686),
(409.6686, -412.5377),
(412.5377, -412.5377),
(412.9526, -412.9526),
(412.9526, -415.8217),
(415.8217, -415.8217),
(417.7758, -417.7758),
(417.7758, -420.6449),
(420.6449, -420.6449),
(421.9416, -421.9416),
(421.9416, -424.8107),
(424.8107, -424.8107),
(425.2805, -425.2805),
(425.2805, -428.1496),
(428.1496, -428.1496),
(428.3005, -428.3005),
(428.3005, -431.1696),
(431.1696, -431.1696),
(431.1961, -431.1961),
(431.1961, -434.0652),
(434.0652, -434.0652),
(435.3028, -435.3028),
(435.3028, -438.1719),
(438.1719, -438.1719),
(441.6391, -441.6391),
(441.6391, -444.5082),
(444.5082, -444.5082),
(445.1762, -445.1762),
(445.1762, -448.0453),
(448.0453, -448.0453),
(448.0927, -448.0927),
(448.0927, -450.9618),
(450.9618, -450.9618),
(453.6423, -453.6423),
(453.6423, -456.5114),
(456.5114, -456.5114),
(456.9329, -456.9329),
(456.9329, -459.802),
(459.802, -459.802),
(460.6304, -460.6304),
(460.6304, -463.4995),
(463.4995, -463.4995),
(464.8704, -464.8704),
(464.8704, -467.7395),
(467.7395, -467.7395),
(468.6948, -468.6948),
(468.6948, -471.5639),
(471.5639, -471.5639),
(473.5872, -473.5872),
(473.5872, -476.4563),
(476.4563, -476.4563),
(477.5149, -477.5149),
(477.5149, -480.384),
(480.384, -480.384),
(481.2578, -481.2578),
(481.2578, -484.1269),
(484.1269, -484.1269),
(484.2573, -484.2573),
(484.2573, -487.1264),
(487.1264, -487.1264),
(489.8527, -489.8527),
(489.8527, -492.7218),
(492.7218, -492.7218),
(493.8376, -493.8376),
(493.8376, -496.7067),
(496.7067, -496.7067),
(497.4953, -497.4953),
(497.4953, -500.3644),
(500.3644, -500.3644),
(501.7775, -501.7775),
(501.7775, -504.6466),
(504.6466, -504.6466),
(504.6496, -504.6496),
(504.6496, -507.5187),
(507.5187, -507.5187),
(507.8416, -507.8416),
(507.8416, -510.7107),
(510.7107, -510.7107),
(512.441, -512.441),
(512.441, -515.3101),
(515.3101, -515.3101),
(515.7464, -515.7464),
(515.7464, -518.6155),
(518.6155, -518.6155),
(520.934, -520.934),
(520.934, -523.8031),
(523.8031, -523.8031),
(524.6851, -524.6851),
(524.6851, -527.5542),
(527.5542, -527.5542),
(529.3459, -529.3459),
(529.3459, -532.215),
(532.215, -532.215),
(532.8646, -532.8646),
(532.8646, -535.7337),
(535.7337, -535.7337),
(537.1715, -537.1715),
(537.1715, -540.0406),
(540.0406, -540.0406),
(540.9028, -540.9028),
(540.9028, -543.7719),
(543.7719, -543.7719),
(543.8554, -543.8554),
(543.8554, -546.7245),
(546.7245, -546.7245),
(547.2086, -547.2086),
(547.2086, -550.0777),
(550.0777, -550.0777),
(551.6886, -551.6886),
(551.6886, -554.5577),
(554.5577, -554.5577),
(555.3427, -555.3427),
(555.3427, -558.2118),
(558.2118, -558.2118),
(560.3419, -560.3419),
(560.3419, -563.211),
(563.211, -563.211),
(563.361, -563.361),
(563.361, -566.2301),
(566.2301, -566.2301),
(566.3929, -566.3929),
(566.3929, -569.262),
(569.262, -569.262),
(571.2587, -571.2587),
(571.2587, -574.1278),
(574.1278, -574.1278),
(577.5876, -577.5876),
(577.5876, -580.4567),
(580.4567, -580.4567),
(581.6559, -581.6559),
(581.6559, -584.525),
(584.525, -584.525),
(585.4996, -585.4996),
(585.4996, -588.3687),
(588.3687, -588.3687),
(588.9488, -588.9488),
(588.9488, -591.8179),
(591.8179, -591.8179),
(592.9226, -592.9226),
(592.9226, -595.7917),
(595.7917, -595.7917),
(597.1142, -597.1142),
(597.1142, -599.9833),
(599.9833, -599.9833),
(600.7327, -600.7327),
(600.7327, -603.6018),
(603.6018, -603.6018),
(604.5302, -604.5302),
(604.5302, -607.3993),
(607.3993, -607.3993),
(608.134, -608.134),
(608.134, -611.0031),
(611.0031, -611.0031),
(611.343, -611.343),
(611.343, -614.2121),
(614.2121, -614.2121),
(615.9116, -615.9116),
(615.9116, -618.7807),
(618.7807, -618.7807),
(619.6198, -619.6198),
(619.6198, -622.4889),
(622.4889, -622.4889),
(623.9688, -623.9688),
(623.9688, -626.8379),
(626.8379, -626.8379),
(627.1842, -627.1842),
(627.1842, -630.0533),
(630.0533, -630.0533),
(630.6608, -630.6608),
(630.6608, -633.5299),
(633.5299, -633.5299),
(636.3205, -636.3205),
(636.3205, -639.1896),
(639.1896, -639.1896),
(640.4384, -640.4384),
(640.4384, -643.3075),
(643.3075, -643.3075),
(645.5028, -645.5028),
(645.5028, -648.3719),
(648.3719, -648.3719),
(649.3123, -649.3123),
(649.3123, -652.1814),
(652.1814, -652.1814),
(653.3167, -653.3167),
(653.3167, -656.1858),
(656.1858, -656.1858),
(656.7044, -656.7044),
(656.7044, -659.5735),
(659.5735, -659.5735),
(659.7034, -659.7034),
(659.7034, -662.5725),
(662.5725, -662.5725),
(664.0147, -664.0147),
(664.0147, -666.8837),
(666.8837, -666.8837),
(668.9366, -668.9366),
(668.9366, -671.8057),
(671.8057, -671.8057),
(673.3994, -673.3994),
(673.3994, -676.2685),
(676.2685, -676.2685),
(676.2888, -676.2888),
(676.2888, -679.1579),
(679.1579, -679.1579),
(679.7479, -679.7479),
(679.7479, -682.617),
(682.617, -682.617),
(683.7122, -683.7122),
(683.7122, -686.5813),
(686.5813, -686.5813),
(687.8503, -687.8503),
(687.8503, -690.7193),
(690.7193, -690.7193),
(693.3278, -693.3278),
(693.3278, -696.1969),
(696.1969, -696.1969),
(696.3415, -696.3415),
(696.3415, -699.2106),
(699.2106, -699.2106),
(700.0807, -700.0807),
(700.0807, -702.9498),
(702.9498, -702.9498),
(703.5237, -703.5237),
(703.5237, -706.3928),
(706.3928, -706.3928),
(708.8494, -708.8494),
(708.8494, -711.7184),
(711.7184, -711.7184),
(712.5296, -712.5296),
(712.5296, -715.3987),
(715.3987, -715.3987),
(715.6878, -715.6878),
(715.6878, -718.5569),
(718.5569, -718.5569),
(720.1519, -720.1519),
(720.1519, -723.021),
(723.021, -723.021),
(723.5456, -723.5456),
(723.5456, -726.4147),
(726.4147, -726.4147),
(727.9862, -727.9862),
(727.9862, -730.8553),
(730.8553, -730.8553),
(730.9056, -730.9056),
(730.9056, -733.7747),
(733.7747, -733.7747),
(735.2072, -735.2072),
(735.2072, -738.0762),
(738.0762, -738.0762),
(739.0694, -739.0694),
(739.0694, -741.9385),
(741.9385, -741.9385),
(744.0993, -744.0993),
(744.0993, -746.9684),
(746.9684, -746.9684),
(748.7128, -748.7128),
(748.7128, -751.5819),
(751.5819, -751.5819),
(753.1961, -753.1961),
(753.1961, -756.0652),
(756.0652, -756.0652),
(757.0131, -757.0131),
(757.0131, -759.8822),
(759.8822, -759.8822),
(760.7059, -760.7059),
(760.7059, -763.575),
(763.575, -763.575),
(763.8967, -763.8967),
(763.8967, -766.7658),
(766.7658, -766.7658),
(767.5137, -767.5137),
(767.5137, -770.3828),
(770.3828, -770.3828),
(771.3807, -771.3807),
(771.3807, -774.2498),
(774.2498, -774.2498),
(777.2269, -777.2269),
(777.2269, -780.096),
(780.096, -780.096),
(780.2497, -780.2497),
(780.2497, -783.1188),
(783.1188, -783.1188),
(783.1816, -783.1816),
(783.1816, -786.0507),
(786.0507, -786.0507),
(786.4755, -786.4755),
(786.4755, -789.3446),
(789.3446, -789.3446),
(791.4586, -791.4586),
(791.4586, -794.3277),
(794.3277, -794.3277),
(795.5517, -795.5517),
(795.5517, -798.4208),
(798.4208, -798.4208),
(799.7914, -799.7914),
(799.7914, -802.6605),
(802.6605, -802.6605),
(804.6383, -804.6383),
(804.6383, -807.5074),
(807.5074, -807.5074),
(807.829, -807.829),
(807.829, -810.6981),
(810.6981, -810.6981),
(810.8969, -810.8969),
(810.8969, -813.766),
(813.766, -813.766),
(817.1682, -817.1682),
(817.1682, -820.0373),
(820.0373, -820.0373),
(821.1461, -821.1461),
(821.1461, -824.0152),
(824.0152, -824.0152),
(825.0707, -825.0707),
(825.0707, -827.9398),
(827.9398, -827.9398),
(829.3071, -829.3071),
(829.3071, -832.1762),
(832.1762, -832.1762),
(833.0916, -833.0916),
(833.0916, -835.9607),
(835.9607, -835.9607),
(836.1905, -836.1905),
(836.1905, -839.0596),
(839.0596, -839.0596),
(840.4596, -840.4596),
(840.4596, -843.3287),
(843.3287, -843.3287),
(845.2437, -845.2437),
(845.2437, -848.1128),
(848.1128, -848.1128),
(848.4409, -848.4409),
(848.4409, -851.31),
(851.31, -851.31),
(851.5528, -851.5528),
(851.5528, -854.4219),
(854.4219, -854.4219),
(854.9942, -854.9942),
(854.9942, -857.8633),
(857.8633, -857.8633),
(860.7577, -860.7577),
(860.7577, -863.6268),
(863.6268, -863.6268),
(863.6961, -863.6961),
(863.6961, -866.5652),
(866.5652, -866.5652),
(866.6915, -866.6915),
(866.6915, -869.5606),
(869.5606, -869.5606),
(871.2399, -871.2399),
(871.2399, -874.109),
(874.109, -874.109),
(875.0337, -875.0337),
(875.0337, -877.9028),
(877.9028, -877.9028),
(878.6031, -878.6031),
(878.6031, -881.4722),
(881.4722, -881.4722),
(883.0481, -883.0481),
(883.0481, -885.9172),
(885.9172, -885.9172),
(886.7587, -886.7587),
(886.7587, -889.6278),
(889.6278, -889.6278),
(891.594, -891.594),
(891.594, -894.4631),
(894.4631, -894.4631),
(896.7763, -896.7763),
(896.7763, -899.6454),
(899.6454, -899.6454),
(899.7891, -899.7891),
(899.7891, -902.6582),
(902.6582, -902.6582),
(904.5664, -904.5664),
(904.5664, -907.4355),
(907.4355, -907.4355),
(909.0057, -909.0057),
(909.0057, -911.8748),
(911.8748, -911.8748),
(912.948, -912.948),
(912.948, -915.8171),
(915.8171, -915.8171),
(916.429, -916.429),
(916.429, -919.2981),
(919.2981, -919.2981),
(919.3777, -919.3777),
(919.3777, -922.2468),
(922.2468, -922.2468),
(923.7723, -923.7723),
(923.7723, -926.6414),
(926.6414, -926.6414),
(927.9741, -927.9741),
(927.9741, -930.8432),
(930.8432, -930.8432),
(932.7678, -932.7678),
(932.7678, -935.6369),
(935.6369, -935.6369),
(936.2471, -936.2471),
(936.2471, -939.1162),
(939.1162, -939.1162),
(939.9188, -939.9188),
(939.9188, -942.7879),
(942.7879, -942.7879),
(944.5292, -944.5292),
(944.5292, -947.3983),
(947.3983, -947.3983),
(948.329, -948.329),
(948.329, -951.1981),
(951.1981, -951.1981),
(951.8638, -951.8638),
(951.8638, -954.7329),
(954.7329, -954.7329),
(955.8486, -955.8486),
(955.8486, -958.7177),
(958.7177, -958.7177),
(960.324, -960.324),
(960.324, -963.1931),
(963.1931, -963.1931),
(965.1232, -965.1232),
(965.1232, -967.9923),
(967.9923, -967.9923),
(968.4761, -968.4761),
(968.4761, -971.3452),
(971.3452, -971.3452),
(971.5182, -971.5182),
(971.5182, -974.3873),
(974.3873, -974.3873),
(976.2776, -976.2776),
(976.2776, -979.1467),
(979.1467, -979.1467),
(981.1044, -981.1044),
(981.1044, -983.9735),
(983.9735, -983.9735),
(984.6616, -984.6616),
(984.6616, -987.5307),
(987.5307, -987.5307),
(988.1685, -988.1685),
(988.1685, -991.0376),
(991.0376, -991.0376),
(991.628, -991.628),
(991.628, -994.4971),
(994.4971, -994.4971),
(995.2311, -995.2311),
(995.2311, -998.1002),
(998.1002, -998.1002),
(1000, -1000)
Thetas: 
(1, 0)
